Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Label
6,199130,5,7,4019,736,3451,0,803.8,1495.7288,564,0,105.14286,208.78731,23878.8731,60.26214031,18102.727,25779.104,60055,3,107315,26828.75,30667.562,54438,216,146873,24478.834,28499.27,60943,3,0,0,0,0,112,152,25.109224,35.152916,0,3451,Benign
6,6058649,7,4,635,168,517,0,90.71429,190.7072,168,0,42.0,84.0,132.5377984,1.81558628,605864.9,1335486.8,4046172,18,6058649,1009774.8,1687253.2,4123955,30,1975248,658416.0,1080685.5,1905650,353,0,0,0,0,232,136,1.1553731,0.6602132,0,517,Benign
17,980,2,2,96,148,48,48,48.0,0.0,74,74,74.0,0.0,248979.5918,4081.632653,326.66666,523.8953,931,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,40,40,2040.8163,2040.8163,48,74,Benign
6,3548122,5,1,123,46,46,0,24.6,23.276598,46,46,46.0,0.0,47.63083118,1.691035427,709624.4,1556792.2,3494233,34,3548122,887030.5,1738289.9,3494233,34,0,0.0,0.0,0,0,1,0,0,0,160,32,1.4091961,0.28183925,0,46,Benign
6,121,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,16528.92562,121.0,0.0,121,121,121,121.0,0.0,121,121,0,0.0,0.0,0,0,0,0,0,0,40,0,16528.926,0.0,0,0,Benign
6,77017392,8,4,56,11601,20,0,7.0,5.656854,7300,0,2900.25,3563.297,151.3554237,0.155808963,7001581.0,22000000.0,73200000,1,77000000,11000000.0,27500000.0,73200000,1,68465,22821.666,25958.125,51155,185,0,0,0,0,172,92,0.10387264,0.05193632,0,7300,DDoS
6,20726723,18,15,1343,20843,708,0,74.611115,199.5407,2896,0,1389.5333,1356.213,1070.405582,1.59214749,647710.1,2451774.8,10000000,19,20700000,1219219.0,3305906.2,10000000,49,20100000,1436977.8,3637239.0,10000000,191,0,0,0,0,584,488,0.8684441,0.7237034,0,2896,Benign
6,3567947,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,6.726557317,1.121092886,1189315.6,2057155.9,3564714,3,3567947,1189315.6,2057155.9,3564714,3,0,0.0,0.0,0,0,0,0,0,0,80,0,1.1210929,0.0,6,6,DDoS
6,81260687,8,5,56,11607,20,0,7.0,5.656854,10135,0,2321.4,4413.202,143.5257371,0.159978958,6771724.0,21300000.0,74100000,1,80200000,11500000.0,27700000.0,74100000,1,1062210,265552.5,529648.06,1060024,190,0,0,0,0,172,112,0.09844859,0.061530367,0,10135,DDoS
17,252,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1277777.778,15873.01587,84.0,143.76022,250,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,7936.508,7936.508,32,129,Benign
6,116083300,8,7,352,11595,346,0,44.0,122.04449,5792,0,1656.4286,2118.2273,102.9174739,0.129217553,8291664.5,26700000.0,100000000,2,116000000,16600000.0,37300000.0,100000000,2,14430,2405.0,4048.2246,9956,2,0,0,0,0,260,232,0.06891603,0.060301524,0,5792,DoS Hulk
6,65,3,0,114,0,57,0,38.0,32.908966,0,0,0.0,0.0,1753846.154,46153.84615,32.5,40.305088,61,4,65,32.5,40.305088,61,4,0,0.0,0.0,0,0,1,0,0,0,96,0,46153.848,0.0,0,57,Benign
6,5857168,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.682923898,1952389.4,3353413.5,5824532,48,5857168,2928584.0,4095489.0,5824532,32636,0,0.0,0.0,0,0,0,0,0,0,104,40,0.5121929,0.17073098,0,0,Benign
6,23261,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,85.98082628,23261.0,0.0,23261,23261,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.990414,42.990414,0,0,Benign
17,125029,1,1,42,385,42,42,42.0,0.0,385,385,385.0,0.0,3415.207672,15.99628886,125029.0,0.0,125029,125029,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7.9981446,7.9981446,42,385,Benign
6,115958142,16,14,435,746,435,0,27.1875,108.75,746,0,53.285713,199.37689,10.18470958,0.258714045,3998556.5,4881284.0,10000000,2,116000000,7730543.0,4159275.2,10000000,2,111000000,8505715.0,3762212.2,10000000,20308,0,0,0,0,520,456,0.13798082,0.120733224,0,746,Benign
6,5923743,11,8,343,7214,186,0,31.181818,63.826042,1398,0,901.75,684.03796,1275.713683,3.207431518,329096.84,1274208.6,5429956,2,5923743,592374.3,1701461.0,5429956,2,303532,43361.715,73662.03,155509,48,0,0,0,0,360,264,1.8569341,1.3504975,0,1398,Benign
6,7018717,27,34,609,61386,489,0,22.555555,93.254135,4380,0,1805.4706,988.8861,8832.810897,8.691047096,116978.62,794490.94,6113112,0,905462,34825.46,162628.8,831338,1,6995867,211995.97,1069722.1,6113112,1,0,0,0,0,620,692,3.8468568,4.84419,0,4380,Benign
6,234,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,51282.05128,8547.008547,234.0,0.0,234,234,234,234.0,0.0,234,234,0,0.0,0.0,0,0,0,0,0,0,40,0,8547.009,0.0,6,6,Benign
17,303,2,2,74,204,37,37,37.0,0.0,102,102,102.0,0.0,917491.7492,13201.32013,101.0,134.56969,254,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,6600.66,6600.66,37,102,Benign
17,38666,1,1,46,78,46,46,46.0,0.0,78,78,78.0,0.0,3206.951844,51.72502974,38666.0,0.0,38666,38666,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,44,25.862514,25.862514,46,78,Benign
6,32205,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,62.10215805,32205.0,0.0,32205,32205,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,31.051079,31.051079,0,0,Benign
6,177,3,1,31,6,31,0,10.333333,17.897858,6,6,6.0,0.0,209039.548,22598.87006,59.0,55.668663,112,1,177,88.5,123.74369,176,1,0,0.0,0.0,0,0,0,0,0,0,96,20,16949.152,5649.7173,0,31,Benign
17,171,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,538011.6959,23391.81287,57.0,97.862144,170,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,64,64,11695.906,11695.906,23,23,Benign
17,123371,2,2,102,438,51,51,51.0,0.0,219,219,219.0,0.0,4377.041606,32.42253042,41123.668,71222.22,123364,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,16.211266,16.211266,51,219,Benign
17,48361,1,1,42,106,42,42,42.0,0.0,106,106,106.0,0.0,3060.317198,41.35563781,48361.0,0.0,48361,48361,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,20.677818,20.677818,42,106,Benign
17,223,2,2,60,320,30,30,30.0,0.0,160,160,160.0,0.0,1704035.874,17937.21973,74.333336,122.68795,216,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,8968.61,8968.61,30,160,Benign
6,40849,49,26,2488,3176,194,0,50.77551,65.998505,440,0,122.15385,132.62268,138657.0051,1836.030258,552.0135,3057.924,24543,1,40849,851.0208,3795.5947,24662,1,40466,1618.64,5210.379,24675,3,0,0,0,0,1592,848,1199.5398,636.4905,0,440,Benign
6,491393,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8.140124096,163797.67,187730.6,368670,16,491393,245696.5,173910.8,368670,122723,0,0.0,0.0,0,0,0,0,0,0,104,40,6.105093,2.035031,0,0,Benign
17,104846,1,1,56,199,56,56,56.0,0.0,199,199,199.0,0.0,2432.138565,19.07559659,104846.0,0.0,104846,104846,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,9.537798,9.537798,56,199,Benign
